Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
BSX,Boston Scientific Corp,44.81,-0.04,-0.09%,45.31,44.46,4271300,25/08/2021
BWA,Borgwarner Inc,43.14,-0.25,-0.58%,43.93,42.85,1780000,25/08/2021
BXP,Boston Properties,113.98,-0.34,-0.30%,115.18,113.06,488800,25/08/2021
C,Citigroup Inc,73.18,1.14,1.58%,73.9,72.04,17766500,25/08/2021
CAG,Conagra Brands Inc,32.86,-0.24,-0.73%,33.03,32.66,2650000,25/08/2021
CAH,Cardinal Health,51.77,0,0.00%,52.04,51,1899200,25/08/2021
CARR,Carrier Global Corp,57.74,1.13,2.00%,58.04,56.43,3900200,25/08/2021
CAT,Caterpillar Inc,214.76,2.17,1.02%,215.7,212.15,2599700,25/08/2021
CB,Chubb Ltd,186.68,1.34,0.72%,187.66,185.16,2028100,25/08/2021
CBOE,CBOE Global Markets Inc,125.61,0.01,0.01%,126.36,124.61,395100,25/08/2021
CBRE,CBRE Group Inc,94.49,1.6,1.72%,94.97,92.18,1175900,25/08/2021
CCI,Crown Castle International Corp,190.3,-2.23,-1.16%,192.58,189.93,1404300,25/08/2021
CCL,Carnival Corp,24.11,0.27,1.13%,24.32,23.41,30576000,25/08/2021
CDNS,Cadence Design Sys,158.63,0.05,0.03%,159.33,157.7,1129800,25/08/2021
CDW,CDW Corp,198.38,1.43,0.73%,199.1,196.38,542100,25/08/2021
CE,Celanese Corp,159.1,1.66,1.05%,159.69,156.26,327300,25/08/2021
CERN,Cerner Corp,76.51,-0.68,-0.88%,77.36,75.74,3317600,25/08/2021
CF,Cf Industries Holdings,45.67,0.56,1.24%,45.86,44.5,1359000,25/08/2021
CFG,Citizens Financial Group Inc/Ri,44.4,0.9,2.07%,44.84,43.52,3142500,25/08/2021
CHD,Church & Dwight Company,82.36,-0.78,-0.94%,83.09,82.27,954700,25/08/2021
CHRW,C.H. Robinson Ww,90.31,0.75,0.84%,90.78,89.31,764200,25/08/2021
CHTR,Charter Communicatio,796.67,4.03,0.51%,798.98,787.57,822300,25/08/2021
CI,Cigna Corp,211.39,-0.5,-0.24%,213.49,209.27,1740300,25/08/2021
CINF,Cincinnati Financial,124.86,1.72,1.40%,125.67,123.16,452000,25/08/2021
CL,Colgate-Palmolive Company,77.65,-0.02,-0.03%,77.83,76.99,3636500,25/08/2021
CLX,Clorox Company,164.83,-1.86,-1.12%,166.24,164.5,1746500,25/08/2021
CMA,Comerica Inc,75.22,1.57,2.13%,76,73.79,1204900,25/08/2021
CMCSA,Comcast Corp A,59.48,-0.05,-0.08%,59.82,59.21,7757100,25/08/2021
CME,CME Group Inc,200.29,-0.28,-0.14%,201.44,199.51,1051700,25/08/2021
CMG,Chipotle Mexican Grill,1924.5,3.98,0.21%,1940.99,1920.33,165700,25/08/2021
CMI,Cummins Inc,238.47,2.33,0.99%,239.69,235.69,1016700,25/08/2021
CMS,Cms Energy Corp,63.64,0.1,0.16%,63.81,63.14,1313700,25/08/2021
CNC,Centene Corp,63.56,-1.02,-1.58%,64.45,63.34,2822200,25/08/2021
CNP,Centerpoint Energy Inc,25.72,-0.12,-0.46%,25.91,25.69,4962200,25/08/2021
COF,Capital One Financial Corp,173.93,3.88,2.28%,174.56,170.23,2184300,25/08/2021
COG,Cabot Oil & Gas Corp,15,0.3,2.04%,15.06,14.51,9074400,25/08/2021
COO,Cooper Companies,446.74,-1.05,-0.23%,449.98,443.81,151000,25/08/2021
COP,Conocophillips,56.02,0.61,1.10%,56.39,55.05,6125400,25/08/2021
COST,Costco Wholesale,451.23,-0.56,-0.12%,452.82,447.32,1520500,25/08/2021
CPB,Campbell Soup Company,41.11,-0.91,-2.17%,41.7,40.97,4862400,25/08/2021
CPRT,Copart Inc,143.93,2.53,1.79%,144.3,140.74,1292800,25/08/2021
CRL,Charles River Laboratories Intl,432.89,5.38,1.26%,433.38,424.63,182300,25/08/2021
CRM,Salesforce.com Inc,260.85,1.19,0.46%,261.9,258.74,9700899,25/08/2021
CSCO,Cisco Systems Inc,59.35,0.03,0.05%,60.27,59.17,18069600,25/08/2021
CSX,CSX Corp,33.46,0.09,0.27%,33.56,33.27,7536600,25/08/2021
CTAS,Cintas Corp,392.16,1.26,0.32%,392.88,389.45,228100,25/08/2021
CTLT,Catalent Inc,129.15,2.9,2.30%,130.48,126,1254900,25/08/2021
CTSH,Cognizant Tech Sol,77.49,-0.52,-0.67%,78.36,77.16,3449600,25/08/2021
CTVA,Corteva Inc,43.78,1.23,2.89%,43.97,42.27,3784400,25/08/2021
CTXS,Citrix Systems Inc,101.63,-0.96,-0.94%,102.97,101.48,1368000,25/08/2021
CVS,CVS Corp,83.57,-0.24,-0.29%,84.18,82.96,3158500,25/08/2021
CVX,Chevron Corp,98.51,0.67,0.68%,98.72,96.72,9342300,25/08/2021
CZR,Caesars Entertainment Inc,97.7,3.84,4.09%,98.03,93.56,2560500,25/08/2021
D,Dominion Resources,78.56,0.02,0.03%,78.71,78.01,2622100,25/08/2021
DAL,Delta Air Lines Inc,41.3,0.77,1.90%,41.44,40.16,12455801,25/08/2021
DD,Du Pont De.Nemours Inc,75.03,0.28,0.37%,75.43,74.52,1862700,25/08/2021
DE,Deere & Company,376.37,8.39,2.28%,379.31,367.77,1657500,25/08/2021
DFS,Discover Financial Services,131.79,2.48,1.92%,132.86,128.93,863200,25/08/2021
DG,Dollar General Corp,234.74,1.99,0.85%,235.38,232.67,1563600,25/08/2021
DGX,Quest Diagnostics Inc,149.71,0.18,0.12%,150.01,148.67,712000,25/08/2021
DHI,D.R. Horton,97.16,1.2,1.25%,98,96.19,1559500,25/08/2021
DHR,Danaher Corp,319.48,-1.17,-0.36%,321.58,318.57,1342800,25/08/2021
DIS,Walt Disney Company,178.31,-0.16,-0.09%,178.59,176.88,4842000,25/08/2021
DISCA,Discovery Comm A,28.74,0.04,0.14%,29.08,28.45,2704100,25/08/2021
DISCK,Discovery Comm Inc,27.51,0.04,0.15%,27.76,27.21,1203600,25/08/2021
DISH,Dish Network Corp,43.7,0.49,1.13%,44.07,43.14,1034400,25/08/2021
DLR,Digital Realty Trust,158.63,-2.95,-1.83%,161.05,157.08,1244800,25/08/2021
DLTR,Dollar Tree Inc,106.32,1.11,1.06%,106.64,105.02,3177600,25/08/2021
DOV,Dover Corp,174.46,0.23,0.13%,175.26,173.85,550200,25/08/2021
DOW,Dow Inc,63.87,0.61,0.96%,64.18,62.82,3246800,25/08/2021
DPZ,Domino's Pizza Inc,512.14,10.56,2.11%,512.55,501.48,417000,25/08/2021
DRE,Duke Realty Corp,49.47,-0.2,-0.40%,49.82,49.28,1210200,25/08/2021
DRI,Darden Restaurants,150.16,4.29,2.94%,150.79,145.59,2079700,25/08/2021
DTE,Dte Energy Company,120.78,0.29,0.24%,121.12,119.93,746000,25/08/2021
DUK,Duke Energy Corp,105.38,0.23,0.22%,105.96,104.43,2357800,25/08/2021
DVA,Davita Healthcare Partners Inc,130.77,-1,-0.76%,131.92,130.13,394500,25/08/2021
DVN,Devon Energy Corp,29.24,0.71,2.49%,29.5,28.2,10566899,25/08/2021
DXC,Dxc Technology Company,37.21,0.5,1.36%,37.44,36.32,1185500,25/08/2021
DXCM,Dexcom,517.56,2.26,0.44%,519.19,511.7,240400,25/08/2021
EA,Electronic Arts Inc,141.86,-0.71,-0.50%,142.77,140.01,1638100,25/08/2021
EBAY,Ebay Inc,74.16,1.32,1.81%,74.49,72.71,5052500,25/08/2021
ECL,Ecolab Inc,224.08,1.75,0.79%,224.39,221.46,486100,25/08/2021
ED,Consolidated Edison Company of New York,75.27,0.25,0.33%,75.53,74.47,1674300,25/08/2021
EFX,Equifax Inc,264.91,5.8,2.24%,265.88,258.8,487400,25/08/2021
EIX,Edison International,58.38,-0.57,-0.97%,59.03,58.23,1358900,25/08/2021
EL,Estee Lauder Companies,335.32,-2.28,-0.68%,340.25,334.53,781800,25/08/2021
EMN,Eastman Chemical Company,113.85,0.82,0.73%,114.44,112.26,609500,25/08/2021
EMR,Emerson Electric Company,104.2,0.78,0.75%,104.61,102.9,1777000,25/08/2021
ENPH,Enphase Energy Inc,172.91,-0.01,-0.01%,174.65,170.34,763800,25/08/2021
EOG,Eog Resources,68.73,0.28,0.41%,69.29,67.77,2362900,25/08/2021
EQIX,Equinix Inc,807.53,-12.71,-1.55%,821.48,801.2,317200,25/08/2021
EQR,Equity Residential,81.96,0.19,0.23%,82.64,81.27,1876600,25/08/2021
ES,Eversource Energy,90.35,-0.53,-0.58%,90.77,90.11,1516800,25/08/2021
ESS,Essex Property Trust,317.95,2.94,0.93%,321.4,314.72,325700,25/08/2021
ETN,Eaton Corp,170.21,0.82,0.48%,171.32,169.42,994600,25/08/2021
ETR,Entergy Corp,113.79,0.05,0.04%,114.39,113,1517000,25/08/2021
ETSY,Etsy Inc,202.28,0.88,0.44%,203.79,197.98,1166300,25/08/2021
EVRG,Evergy Inc,68.86,0.38,0.55%,69.08,68.18,1143700,25/08/2021
EW,Edwards Lifesciences Corp,117.02,-1.07,-0.91%,118,116.35,1958400,25/08/2021
EXC,Exelon Corp,48.89,-0.02,-0.04%,49.06,48.7,4870100,25/08/2021
EXPD,Expeditors Intl,124.13,1.37,1.12%,124.48,121.56,590200,25/08/2021
EXPE,Expedia Group Inc,147.62,0.99,0.68%,147.73,144.45,1714200,25/08/2021
EXR,Extra Space Storage Inc,180.23,2.43,1.37%,181.25,177.52,718800,25/08/2021
F,Ford Motor Company,13.17,0.09,0.69%,13.28,13.02,51195402,25/08/2021
FANG,Diamondback Energy,75.01,0.81,1.09%,75.36,73.31,1731200,25/08/2021
FAST,Fastenal Company,55.51,0.41,0.74%,55.65,55.08,2258400,25/08/2021
FB,Facebook Inc,368.39,2.88,0.79%,370.86,365.4,9684500,25/08/2021
FBHS,Fortune Brands Home & Security,102.21,2.53,2.54%,102.51,99.66,654800,25/08/2021
FCX,Freeport-Mcmoran Inc,35.11,-0.1,-0.28%,35.45,34.61,9923500,25/08/2021
FDX,Fedex Corp,270.37,2.56,0.96%,271.85,267.31,2116100,25/08/2021
FE,Firstenergy Corp,39,0.37,0.96%,39.21,38.44,1848900,25/08/2021
FFIV,F5 Networks Inc,205.89,0.28,0.14%,208.5,205.7,311000,25/08/2021
FIS,Fidelity National Information Services,130.01,0,0.00%,130.41,128.7,3792700,25/08/2021
FISV,Fiserv Inc,119.11,0.49,0.41%,119.51,118.04,2368300,25/08/2021
FITB,Fifth Third Bancorp,39.29,0.85,2.21%,39.65,38.51,4573900,25/08/2021
FLT,Fleetcor Technologies,262.29,-1.57,-0.60%,264.46,260.8,446800,25/08/2021
FMC,FMC Corp,92.9,2.15,2.37%,93.31,90.65,1278700,25/08/2021
FOX,Fox Corp Cl B,34.29,0.05,0.15%,34.6,34,622100,25/08/2021
FOXA,Fox Corp Cl A,37.04,-0.03,-0.08%,37.47,36.69,2319000,25/08/2021
FRC,First Republic Bank,200.36,2.93,1.48%,201.09,197.61,548600,25/08/2021
FRT,Federal Realty Investment Trust,119.59,1.64,1.39%,121.07,117.68,534500,25/08/2021
FTNT,Fortinet Inc,306.03,6.19,2.06%,307.84,300.18,801700,25/08/2021
FTV,Fortive Corp,74.36,0.66,0.90%,74.42,73.28,1167600,25/08/2021
GD,General Dynamics Corp,199.3,0.38,0.19%,200.07,198.22,396100,25/08/2021
GE,General Electric Company,104.7,1.43,1.38%,105.13,102.55,7867100,25/08/2021
GILD,Gilead Sciences Inc,71.41,-0.84,-1.16%,71.96,70.92,4989200,25/08/2021
GIS,General Mills,58.16,-0.26,-0.45%,58.39,57.99,2539200,25/08/2021
GL,Globe Life Inc,97.15,0.6,0.62%,97.88,96.24,208100,25/08/2021
GLW,Corning Inc,40.82,0.33,0.82%,40.92,40.38,3380200,25/08/2021
